   33.15900       33.22600       33.83700       33.58300       33.91500    
   33.41900       34.25800       33.93600       34.45300       34.25100    
   34.27200       34.15200       33.95400       34.01900       34.02100    
   34.05400       32.29800       34.13100       34.21900       34.24300    
   34.43200       34.36300       34.24400       34.24400       34.04700    
   33.46100       33.50000       34.31300       34.47800       34.30000    
   33.72000       32.99900       33.54200       32.99800       32.93500    
   33.02200       33.20000       33.32000       33.50700       32.93100    
   33.22400       33.72000       2.410000       33.74400       33.94300    
   33.56300       33.63100       33.62600       33.17400       33.56900    
   33.79700       33.52700       33.46400       33.44400       33.30300    
   33.53100       33.27300       33.02000       32.09200       32.49200    
   32.77600       33.11500       33.14000       33.29000       33.13800    
   33.24000       33.42300       33.86500       33.71300       33.43600    
   33.64900       33.63500       34.00000       34.04600       33.97600    
   33.71200       34.29100       34.29100       34.45700       34.28000    
   34.29000       34.26700       34.01900       34.03300       34.04500    
   34.08400       33.96600       34.17100       34.24500       34.28100    
   34.43900       34.36300       34.28800       34.28800       34.11000    
   33.93800       33.91700       34.32600       34.48000       34.33400    
   34.07200       33.77700       33.78000       33.24700       33.66700    
   33.16100       33.33000       33.40600       33.56000       33.61900    
   33.38700       33.96200       34.01200       33.92700       34.00900    
   33.80100       33.68800       33.65400       33.59700       33.63200    
   33.83300       33.62900       33.68000       33.64400       33.62600    
   33.72200       33.59300       33.63200       33.37200       33.12300    
   33.42900       33.41500       33.44600       33.35700       33.38500    
   33.39400       33.50500       33.88800       33.75600       33.57100    
   33.97300       34.02300       34.12400       34.12800       34.03700    
   34.21000       34.36300       34.38100       34.47000       34.34000    
   34.35800       34.33500       34.12600       34.10100       34.08800    
   34.12200       34.29000       34.27800       34.29700       34.36200    
   34.47100       34.44000       34.42500       34.42500       34.28200    
   34.27300       34.21200       34.35800       34.48400       34.37700    
   34.35900       34.19500       33.93900       33.71300       34.16700    
   33.62700       33.55400       33.53400       33.70700       34.01900    
   33.75200       34.08000       34.11100       34.09200       34.08800    
   34.03400       33.85100       33.78300       33.98600       33.94900    
   33.99200       33.84300       33.84400       33.86200       33.74100    
   33.82200       33.90600       33.88500       33.88000       33.83900    
   33.86700       33.73300       33.80300       33.65500       33.74300    
   33.78200       33.73800       33.90200       33.77900       33.85300    
   34.08100       34.12400       34.15600       34.15600       34.08900    
   34.32400       34.41700       34.42500       34.52300       34.43600    
   34.40100       34.36500       34.15400       34.18500       34.11300    
   34.14100       34.37300       34.36700       34.36800       34.41000    
   34.50300       34.48600       34.49400       34.49400       34.40300    
   34.35100       34.31300       34.42700       34.49300       34.43300    
   34.42700       34.25500       34.06700       34.04000       34.25500    
