  0.0000000E+00   3180.000       6180.000       9180.000       13140.00    
   16020.00       18780.00       21660.00       24900.00       26940.00    
   30240.00       33480.00       36660.00       39540.00       42420.00    
   44040.00       46680.00       48720.00       51240.00       54840.00    
   57960.00       61200.00       65160.00       69000.00       72060.00    
   74220.00       77100.00       80520.00       83640.00       87120.00    
   89820.00       96780.00       98100.00       100980.0       104580.0    
   107280.0       108540.0       110940.0       113880.0       116700.0    
   118920.0       121140.0       127140.0       128460.0       130440.0    
   132300.0       134160.0       135120.0       136620.0       138540.0    
   140160.0       141660.0       143160.0       145200.0       189780.0    
   148260.0       149520.0       151380.0       153000.0       154080.0    
   156300.0       158040.0       160500.0       162420.0       164400.0    
   166620.0       168480.0       183420.0       184680.0       206820.0    
